RI	No.	Half-life	+-	P1n (max1)	+-	P1n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
129Ag	1	0.046	0.009	0.5	0.5	0.5	0.5	0	0.0046	0.46	0	0	1	0	0	1
129Cd	2	0.154	0.002	0.5	0.5	0	0	1	0.0154	1.54	0	0	1	1	0	1
128Cd	3	0.28	0.04	0	0	0	0	1	0.028	2.8	1	0	1	1	0	1
129In	4	0.611	0.005	0.0023	0.0007	0	0	1	0.0611	6.11	1	0	1	1	0	1
128In	5	0.84	0.06	0.00046	0.00046	0	0	1	0.084	8.4	1	0	1	1	0	1
127Cd	6	0.37	0.07	0	0	0	0	1	0.037	3.7	1	0	1	1	0	1
129Sn	7	133.8	2.4	0	0	0	0	1	13.38	1338	1	0	1	1	0	1
128Sn	8	3544.2	8.4	0	0	0	0	1	354.42	35442	1	0	1	1	0	1
127In	9	1.09	0.01	0.0003	0.0003	0	0	1	0.109	10.9	1	0	1	1	0	1
